Function,Usage,Description,Example,Requirement,Category,Specific Category
PPO ,"TALIB(PPO, INPUT_ARRAY, FAST_PERIOD, SLOW_PERIOD)",Price Oscillator Percentage,"TALIB(PPO, Close, 12, 26)",4,Indicator,Market Strength Indicators
ROC ,"TALIB(ROC, INPUT_ARRAY, PERIOD)",Rate Of Change: ((price/prevprice)-1)*100,"TALIB(ROC, Close, 10)",4,Indicator,Momentum Indicators
ROCP ,"TALIB(ROCP, INPUT_ARRAY, PERIOD)",Rate Of Change: (price-prevprice)/prevprice,"TALIB(ROCP, Close, 10)",4,Indicator,Momentum Indicators
ROCR ,"TALIB(ROCR, INPUT_ARRAY, PERIOD)",Rate Of Change: (price/prevprice),"TALIB(ROCR, Close, 10)",4,Indicator,Momentum Indicators
ROCR100 ,"TALIB(ROCR100, INPUT_ARRAY, PERIOD)",Rate Of Change: (price/prevprice)*100,"TALIB(ROCR100, Close, 10)",3,Indicator,Momentum Indicators
RSI ,"TALIB(RSI, INPUT_ARRAY, PERIOD)",Relative Strength Index,"TALIB(RSI, Close, 14)",5,Indicator,Momentum Indicators
SAR ,"TALIB(SAR, ACCELERATION_FACTOR, AF_MAXIMUM)",Parabolic SAR,"TALIB(SAR, 0.02, 0.2)",4,Indicator,Trend Indicators
SAREXT ,"TALIB(SAREXT, START_VALUE, OFFSET_ON_REVERSE, AF_INIT_LONG, AF_LONG, AF_MAX_LONG, AF_INIT_SHORT, AF_SHORT, AF_MAX_SHORT)",Parabolic SAR Extended,"TALIB(SAREXT, 0, 0, 0.02, 0.02, 0.2, 0.02, 0.02, 0.2)",3,Indicator,Trend Indicators
SMA ,"TALIB(SMA, INPUT_ARRAY, PERIOD)",Simple Moving Average,"TALIB(SMA, Close, 30)",5,Indicator,Moving Average
STDDEV ,"TALIB(STDDEV, INPUT_ARRAY, PERIOD, DEVIATIONS)",Standard Deviation,"TALIB(STDDEV, Close, 5, 1)",5,Indicator,Volatility Indicators
STOCH ,"TALIB(STOCH, FASTK_PERIOD, SLOWK_PERIOD, SLOWD_PERIOD)",Stochastic Oscillator Slow,"TALIB(STOCH, 5, 3, 3)",5,Indicator,Momentum Indicators
STOCHF ,"TALIB(STOCHF, FASTK_PERIOD, FASTD_PERIOD)",Stochastic Oscillator Fast,"TALIB(STOCHF, 5, 3)",5,Indicator,Momentum Indicators
STOCHRSI ,"TALIB(STOCHRSI, INPUT_ARRAY, PERIOD, FASTK_PERIOD, FASTD_PERIOD)",Stochastic RSI,"TALIB(STOCHRSI, Close, 14, 5, 3)",5,Indicator,Momentum Indicators
T3 ,"TALIB(T3, INPUT_ARRAY, PERIOD, VOLUME_FACTOR)",T3,"TALIB(T3, Close, 5, 0.7)",2,Indicator,
TEMA,"TALIB(TEMA, INPUT_ARRAY, PERIOD)",Triple Exponential Moving Average,"TALIB(TEMA, Close, 30)",4,Indicator,Moving averages
TRANGE,TALIB(TRANGE),True Range,TALIB(TRANGE),4,Indicator,Price Adjustment
TRIMA,"TALIB(TRIMA, INPUT_ARRAY, PERIOD)",Triangular Moving Average,"TALIB(TRIMA, Close, 30)",4,Indicator,Volatility Indicators
TRIX,"TALIB(TRIX, INPUT_ARRAY, PERIOD)",TRIX,"TALIB(TRIX, Close, 30)",3,Indicator,
TSF,"TALIB(TSF, INPUT_ARRAY, PERIOD)",Time Series Forcast,"TALIB(TSF, Close, 14)",3,Indicator,Trend Indicators
TYPPRICE,TALIB(TYPPRICE),Typical Price,TALIB(TYPPRICE),4,Indicator,Price Adjustment
ULTOSC,"TALIB(ULTOSC, SHORT_PERIOD, MEDIUM_PERIOD, LONG_PERIOD)",Ultimate Oscillator,"TALIB(ULTOSC, 7, 14, 28)",3,Indicator,Momentum Indicators
VAR,"TALIB(VAR, INPUT_ARRAY, PERIOD, DEVIATIONS)",Variance,"TALIB(VAR, Close, 5, 1)",4,Indicator,
WCLPRICE,TALIB(WCLPRICE),Weighted Close,TALIB(WCLPRICE),4,Indicator,Price Adjustment
WILLR ,"TALIB(WILLR, PERIOD)",William's %R,"TALIB(WILLR, 14)",5,Indicator,Momentum Indicators
WMA ,"TALIB(WMA, INPUT_ARRAY, PERIOD)",Weighted Moving Average,"TALIB(WMA, Close, 30) ",4,Indicator,Moving Average
ZIGZAG, "",Zigzag indicator, "",5,Indicator, Momentum Indicators
